coco/bbox_mAP,coco/bbox_mAP_50,coco/bbox_mAP_75,coco/bbox_mAP_s,coco/bbox_mAP_m,coco/bbox_mAP_l,data_time,time,step
0.791,0.951,0.9,-1.0,0.528,0.795,0.011555497407913208,0.03028682017326355,2.0
0.832,0.985,0.963,-1.0,0.826,0.832,0.002491512022294722,0.021903507478468188,4.0
0.898,0.987,0.987,-1.0,0.872,0.899,0.0020565688907802403,0.021372194175834542,6.0
0.92,0.989,0.988,-1.0,0.878,0.92,0.0020050183161869867,0.020511464996414108,8.0
0.932,0.989,0.989,-1.0,0.875,0.932,0.002020503614808653,0.020756947291600002,10.0
0.937,0.99,0.99,-1.0,0.886,0.936,0.0019769578070550054,0.020689521755252804,12.0
0.935,0.989,0.989,-1.0,0.892,0.935,0.0024934055564644095,0.0201072831015725,14.0
0.932,0.989,0.989,-1.0,0.888,0.932,0.0018493614711247006,0.01958165754685988,16.0
0.93,0.99,0.99,-1.0,0.898,0.93,0.0018748948862264444,0.019404125975800324,18.0
0.924,0.99,0.989,-1.0,0.889,0.924,0.0020504686144086626,0.020415357300094316,20.0
0.924,0.99,0.99,-1.0,0.888,0.924,0.0019794060633732723,0.02216000156802731,22.0
0.921,0.99,0.99,-1.0,0.885,0.921,0.0017548014710356782,0.02172001044114272,24.0
0.918,0.99,0.99,-1.0,0.885,0.918,0.001946318756926667,0.022770340506966177,26.0
0.9,0.99,0.99,-1.0,0.873,0.9,0.001827949529642111,0.02080458932585054,28.0
0.911,0.99,0.99,-1.0,0.882,0.911,0.0017830172737876137,0.020236904209072176,29.0
0.91,0.99,0.99,-1.0,0.884,0.91,0.0018388593828046953,0.020064232947228554,30.0
0.929,0.99,0.99,-1.0,0.887,0.929,0.0018641498538997624,0.020288590070131896,31.0
0.909,0.99,0.99,-1.0,0.867,0.909,0.0019418633543885314,0.020182778428008148,32.0
0.891,0.99,0.99,-1.0,0.869,0.891,0.0017070060486083741,0.019988206954864595,33.0
0.881,0.99,0.99,-1.0,0.874,0.881,0.0017020630907940936,0.020500497503595037,34.0
0.874,0.99,0.99,-1.0,0.861,0.874,0.0017691006312718044,0.02030008751433808,35.0
0.868,0.99,0.99,-1.0,0.856,0.868,0.0018377442221779686,0.02023475034372671,36.0
0.871,0.99,0.99,-1.0,0.844,0.871,0.0017736870330292266,0.020654595457947813,37.0
0.867,0.99,0.99,-1.0,0.842,0.867,0.0018489108338103546,0.020354381212583192,38.0
0.864,0.99,0.99,-1.0,0.841,0.864,0.0018029432077626964,0.020640456831300412,39.0
0.875,0.99,0.99,-1.0,0.849,0.875,0.0018583039541939994,0.02084689778643293,40.0
0.876,0.99,0.99,-1.0,0.847,0.876,0.0019034908248947097,0.01984017902797276,41.0
0.878,0.99,0.99,-1.0,0.862,0.878,0.0017809362916441469,0.02020411510448475,42.0
0.876,0.99,0.99,-1.0,0.863,0.876,0.0018905743018730538,0.020409339434140687,43.0
0.876,0.99,0.99,-1.0,0.843,0.876,0.001816739330996762,0.020383075519756124,44.0
0.878,0.99,0.99,-1.0,0.85,0.878,0.002000562199107655,0.020846843481302023,45.0
0.889,0.99,0.99,-1.0,0.861,0.889,0.0018082038982288463,0.020024895310759187,46.0
0.891,0.99,0.99,-1.0,0.856,0.891,0.0018516110849904491,0.020114120308097665,47.0
0.898,0.99,0.99,-1.0,0.878,0.898,0.0019930790473412087,0.020571234223845002,48.0
0.902,0.99,0.99,-1.0,0.897,0.902,0.0018698649925666375,0.020500446532989717,49.0
0.905,0.99,0.99,-1.0,0.881,0.905,0.0023094466873458575,0.02034696689495197,50.0
